3.512650339096664576e-01 5.100769904165964874e-01
5.465661765321789822e-01 1.542329525120277545e+00
4.298791187555136561e-01 5.336790623269089817e-01
4.070567376442132401e-01 3.135657923687407145e-01
2.881497463878934795e-01 3.673450434582048452e-02
2.533699510662729137e-01 7.507219596111180948e-02
8.153713730471261467e-01 1.956344905821014279e+00
3.403259279792960612e-01 7.112054524091719898e-01
7.728036208229427384e-02 -2.208672284013267761e-01
8.144064285788905622e-01 1.107747684956368550e+00
8.085611349893305766e-01 4.871797871772874933e-01
5.988350746518277257e-01 3.229131800611806380e-01
6.658613923785016153e-01 3.170736398759779195e-01
7.468378444073665579e-01 4.323167250620638669e-01
2.481549717198913152e-01 -1.262475865511486495e-01
3.290058666737113446e-01 3.400310875394930710e-01
4.785571551619375308e-01 3.151417822391896495e-01
3.147688521747671331e-02 -1.184772781255081009e-01
2.356506527219333069e-01 -1.771027018002949149e-01
8.475698396609852026e-01 3.068050046768642680e+00
